KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
C20630,12626-17-4,172232354, , , , , , , , , , 
C20633, ,172232357, , , , , , , , , , 
C20632, ,172232356, , , , , , , , , , 
C20635,1912-33-0,172232359, , , , , , , , , , 
C20634,134-20-3,172232358, , , , , , , , , , 
C20637, ,172232361, , , , , , , , , , 
C20636,34610-68-9,172232360, , , , , , , , , , 
C11917, ,14078,29612,J2.089.670A, , , , , , , , 
C11910, ,14072,10502,J1.336.794I, , ,B05557, , , , , 
G12503, , , , , , , , ,24934,48859|50842|50844,JCGG-STR016059, 
G12507, , , , , , , , , ,36439, , 
G12506, , , , , , , , ,2706,11, ,GSG2059
G12505, , , , , , , , ,1780,44404, , 
G12504, , , , , , , , ,155,34093|46454|46455|48170, , 
C00871, ,4128,2588, , , , , , , , , 
C00870,100-02-7,4127,16836,J4.001K,NPO, , , , , , , 
C00873,9041-90-1|484-42-4,4130,2718,J38.546H, , ,B04738, , , , , 
C00872,1068-84-4,4129,17475,J556H,FGL, ,B00195, , , , , 
C00875, ,4131,23066, , , , , , , , , 
C00877,992-67-6,4133,15473|36926,J1.040.164J|J298.590J|J808.602H, , ,B04740, , , , , 
C00876,64885-97-8,4132,16848, ,F42, ,B04739, , , , , 
C00879,526-99-8,4135,30852,J6.665F,GAE, ,B04741,LMFA01170107, , , , 
C00878,488-30-2,4134,16157,J12.583K,D8T, , , , , , , 
G02908, , , , , , , , ,19111,14537|18043,JCGG-STR009819, 
G02909, , , , , , , , ,19112,1567|24615,JCGG-STR009820, 
G02903, , , , , , , , ,19107,23992|50506,JCGG-STR009814, 
G02901, , , , , , , , ,19106,33843|38699, , 
G02906, , , , , , , , ,19109,22138|33830,JCGG-STR009816, 
G02907, , , , , , , , ,19110,25125|47048,JCGG-STR009818, 
G02904, , , , , , , , ,3610,476|9099,JCGG-STR024497,GSG1318
G02905, , , , , , , , ,19108,25220|30687,JCGG-STR009815, 
C17967, ,96024187,81418,J92.783J, , , , , , , , 
C17966,10376-48-4,96024186,63459,J9.810H, , , , , , , , 
C17965,23180-62-3,96024185,81417,J82.054G, , , , , , , , 
C17964,127-67-3,96024184,81416,J5.399F, , , , , , , , 
C17963,477-29-2,96024183,81415,J120.901I, , , , , , , , 
C17962,85178-62-7,96024182,81414, , , , , , , , , 
C17961, ,96024181,81413,J2.705.050F, , , , , , , , 
C17960, ,96024180,81412,J2.713.869A, , , , , , , , 
C17969,51746-09-9,96024189,81420,J2.412.011B, ,C00017980, , , , , , 
C17968,6980-18-3,96024188,81419,J9.297E,KSG,C00018722, , , , , , 
C14988, ,17395986,79512,J787.050G, , , , , , , , 
C18707,15879-93-3,124489381,81902, , , , , , , , , 
C14434,2104-64-5,17395434,34733,J2.140G, , , , , , , , 
C14435,192-97-2,17395435,34567,J2.971H, , , , , , , , 
C14436,17109-49-8,17395436,34735,J3.449E, , , , , , , , 
C14437,149-30-4,17395437,34292,J2.552F, , , , , , , , 
C14430,62-73-7,17395430,34690,J2.352C, , , , , , , , 
C14431,950-37-8,17395431,34837,J1.752C, , , , , , , , 
C14432,23564-05-8,17395432,35014,J3.471A, , , , , , , , 
C14433,22781-23-3,17395433,34556,J3.469J, , , , , , , , 
C14438,133-06-2,17395438,34608,J2.947E, , , , , , , , 
C14439,126-73-8,17395439,35019,J3.623D, , , , , , , , 
C01089,625-72-9,4324,10983|17066,J5.217E,3HR, ,B00239,LMFA01050005|LMFA01050243, , , ,DFA0271
C01088, ,4323,15587,J2.366.630H, , ,B00238, , , , , 
C01087, ,4322,32796,J1.280.876C,2HG, , , , , , , 
C01086, ,4321,15456, , , , , , , , , 
